agency,description,name,price
Arizona Legends Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '960'}",50720 W Long Rifle Road In Aguila,"$325,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,129'}",50615 W William Road Eagle Roost Air Park,"$1,250,000"
West Usa Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,683'}",51232 W Iver Road Eagle Roost Airpark,"$384,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,374'}",50820 W William Road Eagle Roost Airpark,"$469,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,002'}",48421 N 529th Avenue Rancho De Vaqueros,"$735,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,369'}",52730 W Williams Road Rancho De Vaqueros,"$925,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,800'}",51243 W Hector Road Eagle View Estates,"$350,000"
Keller Williams Arizona Realty,"{'Beds': '1', 'Baths': '1', 'Sq.Ft. Lot': '1,745,473'}",000 Rider - 3 Road 5 Horse Ranch,"$1,200,000"
Tinzie Realty,"{'Beds': '2', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '2,154'}",51008 W Pete Road Eagle Roost Airpark,"$1,100,000"
Homesmart,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,027'}",22916 N Padaro Drive Corte Bella Country Club At Santa Monica Unit Q,"$920,000"
Hague Partners,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,027'}",13225 W Santa Ynez Drive Corte Bella Country Club Phase 1 Unit 1,"$875,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,973'}",23128 N Sol Mar Court Corte Bella Country Club Phase 3 Santa Barbara,"$800,000"
Coldwell Banker Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,947'}",18203 N Gardenview Drive Sun City West Unit 22,"$775,000"
Long Realty Covey Luxury Properties,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '5,438'}",910 S Barberry Lane Rendezvous Unit 2 At Torreon,"$2,190,000"
Homesmart,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,726'}",12835 W Panchita Drive Corte Bella Country Club Unit L At Santa Catarina.,"$742,500"
Long Realty Covey Luxury Properties,"{'Beds': '6', 'Baths': '6', 'Sq.Ft.': '4,500'}",4330 W Box Elder Lane Mountain Houses At Torreon,"$1,799,000"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,982'}",13315 W Paintbrush Drive Sun City West 17B,"$729,999"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,250'}",60 S Falling Leaf Road Rendezvous Unit 1 At Torreon,"$1,690,000"
Homesmart,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,806'}",23215 N Cardenas Drive Corte Bella Country Club,"$725,000"
West Usa Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,480'}",3821 W Sugar Pine Way Rendezvous Unit 2 At Torreon,"$1,680,000"
Home Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,593'}",13139 W Figueroa Drive Corte Bella Country Club At Los Gatos Unit N,"$725,000"
Elpis Real Estate Boutique,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,503'}",1591 S Falling Leaf Road Rendezvous Unit 3 At Torreon,"$1,590,000"
Keller Williams Arizona Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,799'}",14631 W Futura Drive Sun City West 42,"$699,900"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,790'}",300 N Sorrel Court Trailhead At Torreon,"$1,385,000"
Homesmart,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,066'}",12911 W Santa Ynez Drive Santa Maria At Corte Bella Country Club Unit F,"$689,500"
Keller Williams Realty Professional Partners,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,264'}",2300 S Monkshood Road Rendezvous Unit 4 At Torreon,"$1,250,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,726'}",23109 N Cardenas Drive Corte Bella Country Club Phase 3 Santa Barbara,"$689,000"
RE/MAX Fine Properties,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,449'}",1101 S 6th Drive Show Low Unsubdivided,"$1,195,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,582'}",12832 W La Vina Drive Corte Bella Country Club San Luis  Unit G,"$679,000"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,106'}",3461 Senna Lane Homestead Unit 4 At Torreon,"$1,100,000"
Keller Williams Arizona Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,086'}",1066 Casper Lane Show Low Unsubdivided,"$1,039,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,586'}",4050 W Acer Lane Rendezvous Unit 4 At Torreon,"$999,900"
Keller Williams Arizona Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,086'}",1066 Casper Lane Show Low Unsubdivided,"$971,000"
Realty One Group,"{'Beds': '8', 'Baths': '11', 'Sq.Ft.': '15,378'}",10944 E Whistling Wind Way Silverleaf,"$29,000,000"
Engel & Voelkers Scottsdale,"{'Beds': '7', 'Baths': '8', 'Sq.Ft.': '13,617'}",20958 N 112th Street Silverleaf,"$28,000,000"
Silverleaf Realty,"{'Beds': '5', 'Baths': '7 F 1 1/2', 'Sq.Ft.': '12,128'}",10739 E Diamond Rim Drive Silverleaf At Dc Ranch,"$25,990,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '7', 'Baths': '8 F 1 1/2', 'Sq.Ft.': '13,499'}",11200 E Canyon Cross Way Silverleaf At Dc Ranch,"$24,500,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '8 F 1 1/2', 'Sq.Ft.': '11,556'}",11235 E Wingspan Way Silverleaf At Dc Ranch,"$24,220,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '13,114'}",10719 E Rimrock Drive Silverleaf At Dc Ranch,"$20,000,000"
Realty One Group,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,389'}",11160 W Venturi Drive Rancho Estates Unit Four Lots 1 Through 34,"$999,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '8 F 1 1/2', 'Sq.Ft.': '13,272'}",20567 N 112th Street Silverleaf At Dc Ranch,"$19,995,000"
Listed Simply,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,894'}",15025 N Cameo Drive Sun City Unit 25,"$725,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '9,517'}",11098 E Whistling Wind Way #1851 Silverleaf At Dc Ranch Parcel 6.8,"$18,988,000"
Exp Realty,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '4,420'}",15 Sky Ridge Court Sky Ridge,"$6,174,740"
Wise Realty Az,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,506'}",12018 W Villa Hermosa Lane Crossriver Unit 6 Replat,"$635,000"
Silverleaf Realty,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '9,686'}",10323 E Robs Camp Road Silverleaf At Dc Ranch,"$18,950,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '6,932'}",330 Camino Del Caballo Foothills N,"$4,950,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,701'}",11966 W Jessie Lane Crossriver Unit 7,"$625,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '9', 'Baths': '17', 'Sq.Ft.': '25,989'}",23036 N Via Ventosa Drive Canyon Heights,"$16,950,000"
Legacy Sedona Llc,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,650'}",24 Jefferson Court Mystic Heights,"$4,900,000"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,307'}",14001 N Cameo Drive Sun City Unit 25,"$609,900"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '8,685'}",11179 E Honda Bow Road Desert Mountain,"$13,750,000"
Williams Luxury Homes,"{'Beds': '7', 'Baths': '5', 'Sq.Ft.': '4,630'}",40 Roadrunner Lane Bradley Homesites,"$4,850,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,196'}",10952 W Tropicana Circle Sun City,"$599,950"
The Agency,"{'Beds': '6', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,963'}",41851 N 112th Place Desert Mountain,"$12,995,000"
Exp Realty,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '3,920'}",11 Sky Ridge Court Sky Ridge Estates,"$4,704,000"
Keller Williams Realty Professional Partners,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,244'}",16410 N Meadow Park Drive Sun City 31A,"$599,000"
RE/MAX Sedona,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '6,144'}",35 Altair Avenue Aerie,"$4,700,000"
Coldwell Banker Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,963'}",10876 W Utopia Road Ventana Lakes,"$569,900"
Legacy Sedona Llc,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,911'}",297 N Loy Lane Sedona Ranch,"$4,375,000"
Libertas Real Estate,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,959'}",17614 N Calico Drive Sun City 54,"$539,900"
Legacy Sedona Llc,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '4,400'}",144 Fay Canyon Road The Retreat At Seven Canyons,"$3,950,000"
Realty One Group,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,872'}",12121 W Planada Lane Rancho Silverado Unit 1,"$539,900"
