agency,description,name,price
The Maricopa Real Estate Co,"{'Beds': '3', 'Baths': ['2'], 'Sq.Ft.': '2,378'}","20727 N La Entrada Road,Hidden Valley","$825,000"
Homesmart Premier,"{'Beds': '5', 'Baths': ['3'], 'Sq.Ft.': '3,954'}","22103 N Cline Court,Rancho El Dorado","$740,000"
Richmond American Homes,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,580'}","22386 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48","$723,741"
Richmond American Homes,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,580'}","22303 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48","$674,147"
Richmond American Homes,"{'Beds': '4', 'Baths': ['3'], 'Sq.Ft.': '2,580'}","22361 N Daniel Drive,Rancho El Dorado Phase Iii Parcel 43/48","$671,963"
Richmond American Homes,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,580'}","40411 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48","$661,497"
Richmond American Homes,"{'Beds': '5', 'Baths': ['3'], 'Sq.Ft.': '2,640'}","40532 W Desert Fairways Drive,Rancho El Dorado Phase Iii Parcel 43/48","$660,995"
RE/MAX Alliance Group,"{'Beds': '6', 'Baths': ['4'], 'Sq.Ft.': '4,663'}","44572 W Granite Drive,Cobblestone Farms Parcel Ii","$649,990"
Prestige Realty,"{'Beds': '5', 'Baths': ['3'], 'Sq.Ft.': '3,955'}","42762 W Bravo Drive,Phase Ii Parcel 14 At Rancho El Dorado","$643,000"
West Usa Realty,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,117'}","10502 N Candido Road,S19 T5s R2e","$625,000"
Good Oak Real Estate,"{'Beds': '4', 'Baths': ['4'], 'Sq.Ft.': '4,152'}","16896 N Palo Rojo Road,Palo Brea","$620,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': ['4'], 'Sq.Ft.': '3,626'}","20286 N Valencia Drive,Tortosa Nw Parcel 9","$600,000"
Keller Williams Arizona Realty,"{'Beds': '6', 'Baths': ['9'], 'Sq.Ft.': '8,850'}","16477 W San Pedro Circle,Estrella Parcel 9 Lot 1-92 Tr A-D","$2,400,000"
Realty One Group,"{'Beds': '4', 'Baths': ['4', 'F', '1', '1/2'], 'Sq.Ft.': '3,501'}","16564 W Pinchot Avenue,Pebblecreek Phase 2 Unit 48","$1,599,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': ['3'], 'Sq.Ft.': '3,549'}","16827 W Lower Buckeye Road,Metes And Bounds","$1,550,000"
Realty One Group,"{'Beds': '3', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '3,134'}","16779 W Holly Street,Pebblecreek Phase 2 Unit 54","$1,365,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': ['3'], 'Sq.Ft.': '3,549'}","16827 W Lower Buckeye Road,Metes And Bounds","$1,300,000"
Coldwell Banker Realty,"{'Beds': '3', 'Baths': ['3', 'F', '1', '1/2'], 'Sq.Ft.': '3,518'}","17696 W Paseo Way,Estrella Parcel 76","$1,188,000"
Phx Pro Realty,"{'Beds': '3', 'Baths': ['3', 'F', '1', '1/2'], 'Sq.Ft.': '2,900'}","2729 N 168th Avenue,Pebblecreek Phase 2 Unit 60","$1,097,000"
Realty One Group,"{'Beds': '2', 'Baths': ['2', 'F', '1', '1/2'], 'Sq.Ft.': '2,810'}","3183 N 159th Avenue,Pebblecreek Phase 2 Unit 26","$1,089,000"
